congestion_control, loss_rate, goodput_Mbps, rtt_ms, bandwidth_Mbps, specified_bw_Mbps
cubic, 1e-05, 98.81, 100, 100.27, 100
cubic, 0.0001, 34.14, 100, 100.27, 100
cubic, 0.001, 5.92, 100, 100.27, 100
cubic, 0.01, 1.62, 100, 100.27, 100
cubic, 0.02, 1.0, 100, 100.27, 100
cubic, 0.05, 0.61, 100, 100.27, 100
cubic, 0.1, 0.34, 100, 100.27, 100
cubic, 0.15, 0.25, 100, 100.27, 100
cubic, 0.2, 0.2, 100, 100.27, 100
cubic, 0.25, 0.15, 100, 100.27, 100
cubic, 0.3, 0.15, 100, 100.27, 100
cubic, 0.4, 0.09, 100, 100.27, 100
cubic, 0.5, 0.02, 100, 100.27, 100
bbr, 1e-05, 95.36, 100, 100.27, 100
bbr, 0.0001, 95.19, 100, 100.27, 100
bbr, 0.001, 94.94, 100, 100.27, 100
bbr, 0.01, 85.37, 100, 100.27, 100
bbr, 0.02, 84.1, 100, 100.27, 100
bbr, 0.05, 76.89, 100, 100.27, 100
bbr, 0.1, 74.56, 100, 100.27, 100
bbr, 0.15, 70.34, 100, 100.27, 100
bbr, 0.2, 67.38, 100, 100.27, 100
bbr, 0.25, 66.16, 100, 100.27, 100
bbr, 0.3, 61.36, 100, 100.27, 100
bbr, 0.4, 57.89, 100, 100.27, 100
bbr, 0.5, 17.4, 100, 100.27, 100
